stop_id,stop_name,stop_lat,stop_lon
06008,AlcantarillaLosRomanos,37.9642527,-1.2170108
06100,Almendricos,37.4748912,-1.7796447
07001,Pulpi(apd),37.3999194,-1.7501361
07003,Jaravia(apd),37.3925027,-1.693175
07004,águilas,37.4098333,-1.5725777
07007,Aguilas-Lb,37.4119055,-1.5859138
10000,Madrid-PrincipePio,40.4215361,-3.7190805
10001,Aravaca(apd-Cgd),40.4484027,-3.7855512
10002,Pozuelo,40.4473443,-3.8002865
10005,LasRozas(apd),40.4942255,-3.8681086
10007,Majadahond,40.4742448,-3.8452712
10010,ElBarrial,40.4653336,-3.8078526
10100,PinarDeLasRozas,40.5222566,-3.8822585
10101,LasMatas,40.5523275,-3.8967651
10103,Torrelodones,40.5745499,-3.9565955
10104,Galapagar-LaNavata,40.6002664,-3.9822646
10200,VillalbaDeGuadarrama,40.6265067,-4.0081871
10201,SanYago,40.6178786,-4.0312349
10202,LasZorreras-Navalquejigo,40.6092725,-4.0463634
10203,ElEscorial,40.5852811,-4.1324479
10204,Zarzalejo,40.538710,-4.158180
10205,RobledoDeChavela,40.520802,-4.246774
10206,SantaMaríaDeLaAlameda-Peguerinos,40.568937,-4.269332
11305,Brinkola-OÑati,43.019887,-2.334469
11306,Legazpi,43.052263,-2.329396
11400,Zumarraga,43.088273,-2.318462
11402,Ormaiztegui,43.040151,-2.255831
11404,Beasain,43.046174,-2.203234
11405,Ordizia/Ordicia,43.052583,-2.181019
11406,Itsasondo(apd),43.068955,-2.162736
11407,Legorreta,43.085187,-2.14555
11408,Ikazteguieta(apd),43.094977,-2.126252
11409,Alegia,43.10214,-2.099346
11500,Tolosa,43.131936,-2.085247
11501,TolosaCentro,43.13597,-2.078512
11502,Anoeta,43.165233,-2.071624
11503,Villabona-Zizurkil,43.189391,-2.055641
11504,Andoain-Centro,43.214729,-2.020394
11505,Andoain,43.221715,-2.016357
11506,Urnieta,43.243416,-1.991492
11507,Hernani-Centro,43.261977,-1.975726
11508,Hernani,43.272283,-1.964175
11509,Martutene,43.29442,-1.956981
11510,Loiola,43.304772,-1.964289
11511,SanSebastián/Donostia,43.317669,-1.976704
11512,Gros,43.322077,-1.972632
11513,Ategorrieta(apd),43.321814,-1.967016
11514,Herrera(apd),43.320009,-1.917946
11515,Pasaia,43.318764,-1.904324
11516,Lezo-Errenteria,43.313544,-1.895015
11518,VentasDeIrun,43.331008,-1.816203
11522,Intxaurrondo,43.32068,-1.952632
11600,Irun,43.339582,-1.800192
12001,LosNegrales,40.6385681,-4.0220307
12002,Alpedrete-Mataespesa,40.6580931,-4.0350813
12004,ColladoMediano,40.6927600,-4.0359164
12005,LosMolinos-Guadarrama,40.7066368,-4.0673999
12006,Cercedilla,40.7375282,-4.0664502
12020,PuertoNavacerrada(apt),40.7842464,-4.0050168
12023,LosCotos(apt),40.8223493,-3.9644101
13100,OrduÑa,42.994971,-3.014669
13101,Amurrio,43.042794,-3.004019
13102,Salbio,43.064293,-2.995857
13103,Luiaondo,43.093554,-2.999662
13104,SantaCruzDeLlodio,43.132448,-2.970197
13106,Llodio,43.142721,-2.959916
13107,Areta,43.146085,-2.945719
13108,Arbide,43.159117,-2.929893
13109,Arrankudiaga(apd),43.1689773,-2.9190924
13110,Ugao-Miraballes,43.180117,-2.903493
13111,Arrigorriaga,43.2123426,-2.8906975
13112,Basauri(apd),43.226952,-2.888881
13113,Bidebieta-Basauri,43.238817,-2.892993
13114,Ollargan,43.244697,-2.912016
13115,Bakiola,43.176332,-2.909743
13116,IÑarratxu,43.017154,-3.011418
13117,Arakaldo,43.154817,-2.938893
13118,Abaroa-Sm,43.236846,-2.889762
13119,LaPeÑa,43.239764,-2.923413
13120,Miribilla,43.25325,-2.9294
13121,AmurrioIparralde,43.0513,-2.99965
13200,Bilbao-AbandoIndalecioPrieto,43.259609,-2.92915
13205,Zabalburu,43.256752,-2.932127
13206,Ametzola,43.255428,-2.940762
13207,Autonomia,43.257784,-2.94615
13208,S.Mames,43.261825,-2.948816
13303,Olabeaga,43.264166,-2.957191
13304,Zorrotza,43.277780,-2.972117
13305,Lutxana-Barakaldo,43.288106,-2.975335
13400,Desertu-Barakaldo,43.300475,-2.984948
13401,Sestao,43.310243,-2.997303
13402,LaIberia(apd),43.311861,-3.00425
13403,Portugalete,43.318728,-3.015567
13404,PeÑota,43.329766,-3.031149
13405,Santurtzi,43.335671,-3.041196
13501,Galindo,43.300847,-3.021017
13502,Trapaga,43.30335,-3.0351
13503,ValleDeTrapaga/Trapagaran,43.307763,-3.039786
13504,Ortuella,43.310251,-3.058531
13505,Putxeta,43.31623,-3.089951
13506,Muskiz,43.321472,-3.112317
13507,Urioste,43.306411,-3.046882
13508,Gallarta(apd),43.320472,-3.073542
13509,SagradaF.,43.308212,-3.052896
14200,Mataporquera,42.8709010,-4.1654060
14202,Reinosa,42.995158,-4.139917
14203,Lantueno-Santiurde,43.064618,-4.086294
14204,Pesquera,43.083718,-4.079594
14206,Bárcena,43.130561,-4.056662
14207,Molledo-Portolín,43.146897,-4.043563
14208,SantaCruzDeIguÑa,43.167067,-4.048194
14209,LasFraguas,43.194318,-4.057394
14210,LosCorralesDeBuelna,43.257961,-4.064679
14211,LasCaldasDeBesaya,43.295518,-4.075294
14212,Viernoles,43.327437,-4.042475
14213,Torrelavega/Tanos,43.33974,-4.02896
14214,Sierrapando,43.347118,-3.991694
14215,Zurita,43.357826,-3.979697
14216,Renedo,43.355636,-3.953732
14217,Parbayón,43.375214,-3.90092
14218,Guarnizo,43.398271,-3.850226
14219,Boo,43.404295,-3.8432
14220,MaliaÑo,43.41664,-3.841901
14221,Muriedas,43.4265260,-3.8482400
14223,Santander,43.458575,-3.811223
14230,Valdecilla,43.450492,-3.838889
14231,NuevaMontaÑa,43.445244,-3.846303
14232,Lombera,43.276219,-4.071153
14233,RíoEbro,43.025658,-4.097112
14234,Pujayo,43.123726,-4.08172
14235,ArenasDeIguÑa,43.186618,-4.054394
14236,VioÑo,43.360717,-3.964874
14237,Muriedas-Bahía,43.435311,-3.850821
15118,Fierros,43.07152,-5.769496
15119,LaFrecha,43.09722,-5.797896
15120,Campumanes,43.11112,-5.814196
15121,LaCobertoria,43.130231,-5.812825
15122,LaPola,43.158942,-5.831075
15123,Vil.layana,43.186778,-5.803633
15200,Uxo,43.20702,-5.791496
15202,Santuyano,43.214944,-5.785817
15203,MieresDelCamín,43.250027,-5.78028
15205,AblaÑa,43.267493,-5.804693
15206,LaPerea,43.277234,-5.812279
15207,Olloniego/Lluniego,43.29622,-5.819295
15208,SotoRei/SotoDeRey,43.30762,-5.856895
15209,LesSegaes/LasSegadasDeAbajo,43.312842,-5.86918
15210,ElCaleyu,43.33042,-5.868395
15211,Oviedo/Uviéu,43.366841,-5.854263
15212,Lugones/Llugones,43.40347,-5.812935
15217,LaCorredoria,43.383422,-5.830233
15218,Llamaquique,43.355864,-5.855475
15300,LugoDeLlanera,43.445519,-5.817438
15301,Villabona,43.46082,-5.825595
15302,Serín,43.50482,-5.780395
15303,Montiana,43.527578,-5.735516
15305,Tabladiello,43.474597,-5.802526
15400,VeriÑa,43.54092,-5.725018
