trip_id,start_time,end_time,headway_secs
4-I14-003-2022I14-1-1-4--3---,22:00:00,23:00:00,420
4-I14-003-2022I14-2-1-4--3---,22:00:00,23:00:00,420
4-I14-003-2022I14-1-1-4--3---,23:00:00,24:00:00,450
4-I14-003-2022I14-2-1-4--3---,23:00:00,24:00:00,450
4-I15-003-2022I15-1-1-4--3---,00:00:00,02:00:00,600
4-I15-003-2022I15-2-1-4--3---,00:00:00,02:00:00,600
4-I15-003-2022I15-1-1-4--3---,06:05:00,07:00:00,390
4-I15-003-2022I15-2-1-4--3---,06:05:00,07:00:00,390
4-I15-003-2022I15-1-1-4--3---,07:00:00,07:30:00,210
4-I15-003-2022I15-2-1-4--3---,07:00:00,07:30:00,210
4-I15-003-2022I15-1-1-4--3---,07:30:00,09:30:00,180
4-I15-003-2022I15-2-1-4--3---,07:30:00,09:30:00,180
4-I15-003-2022I15-1-1-4--3---,09:30:00,11:00:00,240
4-I15-003-2022I15-2-1-4--3---,09:30:00,11:00:00,240
4-I15-003-2022I15-1-1-4--3---,11:00:00,14:00:00,300
4-I15-003-2022I15-2-1-4--3---,11:00:00,14:00:00,300
4-I15-003-2022I15-1-1-4--3---,14:00:00,16:00:00,210
4-I15-003-2022I15-2-1-4--3---,14:00:00,16:00:00,210
4-I15-003-2022I15-1-1-4--3---,16:00:00,22:00:00,270
4-I15-003-2022I15-2-1-4--3---,16:00:00,22:00:00,270
4-I15-003-2022I15-1-1-4--3---,22:00:00,23:00:00,390
4-I15-003-2022I15-2-1-4--3---,22:00:00,23:00:00,390
4-I15-003-2022I15-1-1-4--3---,23:00:00,24:00:00,450
4-I15-003-2022I15-2-1-4--3---,23:00:00,24:00:00,450
4-I12-004-2022I12-1-1-4--4---,00:00:00,02:00:00,750
4-I12-004-2022I12-2-1-4--4---,00:00:00,02:00:00,750
4-I12-004-2022I12-1-1-4--4---,06:05:00,07:00:00,540
4-I12-004-2022I12-2-1-4--4---,06:05:00,07:00:00,540
4-I12-004-2022I12-1-1-4--4---,07:00:00,11:00:00,480
4-I12-004-2022I12-2-1-4--4---,07:00:00,11:00:00,480
4-I12-004-2022I12-1-1-4--4---,11:00:00,22:00:00,360
4-I12-004-2022I12-2-1-4--4---,11:00:00,22:00:00,360
4-I12-004-2022I12-1-1-4--4---,22:00:00,24:00:00,450
4-I12-004-2022I12-2-1-4--4---,22:00:00,24:00:00,450
